                    c             cloctime              csunzen             radiance                   tb
          8.000000000          4.428890228        113.562812805          0.269600004         94.181999207
          8.000000000          4.429719925        113.551399231          0.301499993         98.379997253
          8.000000000          4.430560112        113.538810730          0.284599990         96.183998108
          8.000000000          4.431389809        113.526542664          0.285499990         96.300003052
          8.000000000          4.432219982        113.513496399          0.292800009         97.249000549
          8.000000000          4.433060169        113.501693726          0.282799989         95.945999146
          8.000000000          4.433889866        113.488662720          0.297399998         97.856002808
          8.000000000          4.434720039        113.476013184          0.282799989         95.939002991
          8.000000000          4.428890228        113.562858582          0.274100006         94.785003662
          8.000000000          4.429719925        113.551452637          0.272599995         94.584999084
          8.000000000          4.430560112        113.538856506          0.284599990         96.183998108
          8.000000000          4.431389809        113.526588440          0.277399987         95.231002808
          8.000000000          4.432219982        113.513549805          0.274199992         94.800003052
          8.000000000          4.433060169        113.501739502          0.289600015         96.838996887
          8.000000000          4.433889866        113.488700867          0.294000000         97.408996582
          8.000000000          4.434720039        113.476051331          0.275900006         95.022003174
          8.000000000          4.428890228        113.562911987          0.283100009         95.980003357
          8.000000000          4.429719925        113.551498413          0.284999996         96.227996826
          8.000000000          4.430560112        113.538902283          0.276699990         95.140998840
          8.000000000          4.431389809        113.526626587          0.273400009         94.692001343
          8.000000000          4.432219982        113.513603210          0.289000005         96.763000488
          8.000000000          4.433060169        113.501792908          0.272599995         94.588996887
          8.000000000          4.433889866        113.488746643          0.276800007         95.152000427
          8.000000000          4.434720039        113.476097107          0.300099999         98.195999146
          9.000000000          4.428890228        113.563140869          0.116400003         96.794998169
          9.000000000          4.429719925        113.551437378          0.112599999         94.896003723
          9.000000000          4.430560112        113.538749695          0.113399997         95.325996399
          9.000000000          4.431389809        113.526382446          0.115300000         96.263000488
          9.000000000          4.432219982        113.513381958          0.121699996         99.416000366
          9.000000000          4.433060169        113.500701904          0.115300000         96.250999451
          9.000000000          4.433889866        113.488029480          0.116200000         96.679000854
          9.000000000          4.434720039        113.475349426          0.116099998         96.672996521
          9.000000000          4.428890228        113.563201904          0.132300004        104.597999573
          9.000000000          4.429719925        113.551490784          0.115000002         96.112998962
          9.000000000          4.430560112        113.538803101          0.105800003         91.527999878
          9.000000000          4.431389809        113.526443481          0.125100002        101.078002930
          9.000000000          4.432219982        113.513442993          0.112400003         94.790000916
          9.000000000          4.433060169        113.500762939          0.110399999         93.823997498
          9.000000000          4.433889866        113.488082886          0.125799999        101.431999207
          9.000000000          4.434720039        113.475402832          0.111699998         94.484001160
          9.000000000          4.428890228        113.563262939          0.103100002         90.170997620
          9.000000000          4.429719925        113.551536560          0.112599999         94.897003174
          9.000000000          4.430560112        113.538856506          0.118500002         97.836997986
          9.000000000          4.431389809        113.526489258          0.117799997         97.471000671
          9.000000000          4.432219982        113.513488770          0.116999999         97.109001160
          9.000000000          4.433060169        113.500808716          0.115300000         96.250000000
          9.000000000          4.433889866        113.488128662          0.108900003         93.073997498
          9.000000000          4.434720039        113.475448608          0.122800000         99.930999756
          9.000000000          4.428890228        113.563308716          0.111100003         94.164001465
          9.000000000          4.429719925        113.551597595          0.119900003         98.533996582
          9.000000000          4.430560112        113.538909912          0.110900000         94.065002441
          9.000000000          4.431389809        113.526542664          0.110399999         93.831001282
          9.000000000          4.432219982        113.513526917          0.109999999         93.623001099
          9.000000000          4.433060169        113.500846863          0.127499998        102.248001099
          9.000000000          4.433889866        113.488166809          0.118600003         97.871002197
          9.000000000          4.434720039        113.475486755          0.107299998         92.279998779
          9.000000000          4.428890228        113.563369751          0.108400002         92.839996338
          9.000000000          4.429719925        113.551658630          0.115000002         96.114997864
          9.000000000          4.430560112        113.538963318          0.118500002         97.836997986
          9.000000000          4.431389809        113.526603699          0.120200001         98.676002502
          9.000000000          4.432219982        113.513587952          0.112300001         94.788002014
          9.000000000          4.433060169        113.500907898          0.120200001         98.658996582
          9.000000000          4.433889866        113.488227844          0.108900003         93.072998047
          9.000000000          4.434720039        113.475547791          0.120600000         98.846000671
          9.000000000          4.428890228        113.563423157          0.108400002         92.842002869
          9.000000000          4.429719925        113.551696777          0.107699998         92.454002380
          9.000000000          4.430560112        113.539016724          0.113399997         95.325996399
          9.000000000          4.431389809        113.526649475          0.122699998         99.877998352
          9.000000000          4.432219982        113.513641357          0.107699998         92.452003479
          9.000000000          4.433060169        113.500953674          0.122599997         99.858001709
          9.000000000          4.433889866        113.488273621          0.104099996         90.648002625
